Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,sm.badge_text (product.metafields.custom.sm_badge_text),sm.bundle_with	 (product.metafields.custom.sm_bundle_with),sm.duration (product.metafields.custom.sm_duration),sm.ingredients (product.metafields.custom.sm_ingredients),sm.intention (product.metafields.custom.sm_intention),sm.line	 (product.metafields.custom.sm_line),sm.notes (product.metafields.custom.sm_notes),sm.origin (product.metafields.custom.sm_origin),sm.quantity (product.metafields.custom.sm_quantity),sm.story_content (product.metafields.custom.sm_story_content),sm.story_title	 (product.metafields.custom.sm_story_title),sm.subtitle (product.metafields.custom.sm_subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Aroma (product.metafields.shopify.scent),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Chile,Price / Chile,Compare At Price / Chile,Status
sahumador-hornillo-para-esencias-y-porta-incienso-sagrada-madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_03_07_17_p.m..png?v=1778872477,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumador-hornillo-para-esencias-y-porta-incienso-sagrada-madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_03_08_16_p.m..png?v=1778872478,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumador-hornillo-para-esencias-y-porta-incienso-sagrada-madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_03_09_38_p.m..png?v=1778872478,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumador-hornillo-para-esencias-y-porta-incienso-sagrada-madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_03_11_25_p.m..png?v=1778872478,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumador-porta-incienso-volcan-hexagonal-sagrada-madre,Sahumador Porta Incienso Volcán Hexagonal Sagrada Madre,"<h2>Sahumador Porta Incienso Iniciador de Bombitas</h2>

<p>
El <strong>Sahumador Porta Incienso Iniciador de Bombitas</strong> es una pieza decorativa y funcional diseñada para acompañar tus rituales de limpieza, armonización y conexión energética.
</p>

<p>
Su diseño permite utilizarlo como <strong>sahumador, quemador de incienso y porta sahumerios</strong>, convirtiéndolo en un complemento versátil para el hogar, tiendas esotéricas, espacios de bienestar o rincones de meditación.
</p>

<h3>Beneficios</h3>
<ul>
  <li>Funciona como sahumador para bombitas e inciensos.</li>
  <li>Ideal para iniciar rituales de limpieza energética.</li>
  <li>Diseño decorativo, natural y armónico.</li>
  <li>Práctico para uso diario en espacios personales o comerciales.</li>
  <li>Ayuda a contener el sahumo de forma más segura y ordenada.</li>
</ul>

<h3>Modo de uso</h3>
<p>
Coloca la bombita, carbón o incienso en la parte superior del sahumador, enciende con cuidado y permite que el humo se libere suavemente en el ambiente. Utilizar siempre sobre una superficie resistente al calor y mantener fuera del alcance de niños y mascotas.
</p>

<h3>Medidas</h3>
<ul>
  <li>
<strong>Alto:</strong> 11,5 cm</li>
  <li>
<strong>Ancho:</strong> 9 cm</li>
</ul>

<p>
Una pieza simple, funcional y decorativa para transformar cualquier espacio en un lugar de calma, limpieza y bienestar.
</p>",Sagrada Madre,Home & Garden > Decor > Home Fragrance Accessories > Incense Holders,"","sagrada madre, Sagrada_Madre, sagradamadre, SAHUMADOR, Sahumadores, SAHUMERIO",true,Title,Default Title,,,,,,,,'091995,0.0,shopify,64,deny,manual,9744,14990,true,true,,,,,'7798433091995,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_02_53_45_p.m..png?v=1778872476,1,"",false,,,4741.0,,,,,,,,,,,,,,,,,,,,,,,,,gris,hormigon,,,kg,,4840,true,,,active
sahumador-porta-incienso-volcan-hexagonal-sagrada-madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_02_44_45_p.m..png?v=1778872475,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumador-porta-incienso-volcan-hexagonal-sagrada-madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_02_51_23_p.m..png?v=1778872475,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumador-porta-incienso-volcan-hexagonal-sagrada-madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/ChatGPT_Image_15_may_2026_02_56_30_p.m..png?v=1778872475,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sahumerio-tarot-angeles-fuerza-interior,Sahumerio Tarot Ángeles Fuerza Interior - Dulce Cacao,"<p>🔮✨ <strong>Sahumerio Tarot Ángeles Fuerza Interior - Dulce Cacao</strong> es un sahumerio pensado para acompañar tus rituales con intención, aroma y mensaje.</p>
<p>💫 <strong>Intención:</strong> Fuerza Interior</p>
<p>🌿 <strong>Aroma:</strong> Dulce Cacao</p>
<p>💛 <strong>Beneficio emocional:</strong> contención, calidez y fortaleza emocional.</p>
<p>🕊️ <strong>Sensación aromática:</strong> Su aroma cálido y gourmand abraza el ambiente con una sensación de refugio, comodidad y energía amorosa.</p>
<p>📦 <strong>Contenido:</strong> cada caja trae <strong>6 sahumerios</strong>, con <strong>duración aproximada de 1 hora cada uno</strong>, más <strong>2 cartas coleccionables</strong> para completar tu mazo de 21 cartas ✨</p>
<p>✅ <strong>Ideal para:</strong></p>
<ul>
  <li>✨ Acompañar momentos de descanso y reconexión</li>
  <li>✨ Crear un clima cálido para rituales de autocuidado</li>
  <li>✨ Sostener procesos emocionales desde la calma y la presencia</li>
</ul>
<p>🔥 <strong>Modo de uso:</strong><br>Enciende la punta, deja arder 5–10 segundos y apaga la llama. Colócalo en un porta sahumerio y deja que el humo acompañe tu espacio.</p>
<p>🔮 <em>El mensaje siempre encuentra a quien está listo para recibirlo.</em></p>",Sagrada Madre,Home & Garden > Decor > Home Fragrances > Incense,Sahumerio,"calma, categoria madre: sahumerios, Dulce Cacao, Fuerza Interior, sahumerio, subcategoria: tarot angeles, Tarot Ángeles",true,Title,Default Title,,,,,,,,'092336,0.0,shopify,133,deny,manual,3894,5990,true,true,,,,,'7798433092336,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/sahumerio-tarot-angeles-fuerza-interior-dulce-cacao-9099224.jpg?v=1775074748,1,Sahumerio Tarot Ángeles Fuerza Interior - Dulce Cacao - Sagrada Madre Chile,false,Sahumerio Tarot Ángeles Fuerza Interior,"Sahumerio Tarot Ángeles Fuerza Interior Sagrada Madre, ideal para fortaleza, guía interior y rituales de intención.",3686.0,,,,,,,,,,,Calma,sahumador-porta-incienso-marfil-natural,1 hr cada varilla,"Hierbas, biomasa de frutas, aceite concentrado aromático, carbón vegetal, aglutinante natural y sal",Contención - Calidez - Fortaleza emocional,Tarot Angeles,"Contención, calidez, fortaleza emocional",Argentina,6 sahumerios,"🔮✨ Sahumerio Tarot Ángeles Fuerza Interior - Dulce Cacao es un sahumerio pensado para acompañar tus rituales con intención, aroma y mensaje.. 💫 Intención: Fuerza Interior. 🌿 Aroma: Dulce Cacao. 💛 Beneficio emocional: contención, calidez y fortaleza emocional.. 🕊️ Sensación aromática: Su aroma cálido y gourmand abraza el ambiente con una sensación de refugio, comodidad y energía amorosa.. 📦 Contenido: cada caja trae 6 sahumerios , con duración aproximada de 1 hora cada uno , más 2 cartas coleccionables para completar tu mazo de 21 cartas ✨. ✅ Ideal para: . ✨ Acompañar momentos de descanso y reconexión. ✨ Crear un clima cálido para rituales de autocuidado. ✨ Sostener procesos emocionales desde la calma y la presencia. 🔥 Modo de uso: . Enciende la punta, deja arder 5–10 segundos y apaga la llama. Colócalo en un porta sahumerio y deja que el humo acompañe tu espacio.. 🔮 El mensaje siempre encuentra a quien está listo para recibirlo",Sahumerio Tarot Ángeles Fuerza Interior - Dulce Cacao,Dulce Cacao · Contención,,,,,,,kg,,1138,true,,,active
sahumerio-tarot-angeles-sabiduria,Sahumerio Tarot Ángeles Sabiduría - Hojas de Violeta,"<p>🔮✨ <strong>Sahumerio Tarot Ángeles Sabiduría - Hojas de Violeta</strong> es un sahumerio pensado para acompañar tus rituales con intención, aroma y mensaje.</p>
<p>💫 <strong>Intención:</strong> Sabiduría</p>
<p>🌿 <strong>Aroma:</strong> Hojas de Violeta</p>
<p>💛 <strong>Beneficio emocional:</strong> introspección, frescura mental y sensibilidad.</p>
<p>🕊️ <strong>Sensación aromática:</strong> Su aroma verde, fresco y aterciopelado crea una atmósfera serena, ideal para mirar hacia adentro con claridad.</p>
<p>📦 <strong>Contenido:</strong> cada caja trae <strong>6 sahumerios</strong>, con <strong>duración aproximada de 1 hora cada uno</strong>, más <strong>2 cartas coleccionables</strong> para completar tu mazo de 21 cartas ✨</p>
<p>✅ <strong>Ideal para:</strong></p>
<ul>
  <li>✨ Acompañar lectura, estudio o escritura consciente</li>
  <li>✨ Favorecer espacios de introspección y contemplación</li>
  <li>✨ Renovar el ambiente con una sensación elegante y limpia</li>
</ul>
<p>🔥 <strong>Modo de uso:</strong><br>Enciende la punta, deja arder 5–10 segundos y apaga la llama. Colócalo en un porta sahumerio y deja que el humo acompañe tu espacio.</p>
<p>🔮 <em>El mensaje siempre encuentra a quien está listo para recibirlo.</em></p>",Sagrada Madre,Home & Garden > Decor > Home Fragrances > Incense,Sahumerio,"calma, categoria madre: sahumerios, Hojas de Violeta, Sabiduría, sahumerio, subcategoria: tarot angeles, Tarot Ángeles",true,Title,Default Title,,,,,,,,'092329,0.0,shopify,143,deny,manual,3894,5990,true,true,,,,,'7798433092329,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/sahumerio-tarot-angeles-sabiduria-hojas-de-violeta-3299034.jpg?v=1775074751,1,Sahumerio Tarot Ángeles Sabiduría - Hojas de Violeta - Sagrada Madre Chile,false,Sahumerio Tarot Ángeles Sabiduría,"Sahumerio Tarot Ángeles Sabiduría Sagrada Madre, ideal para claridad, introspección y conexión espiritual.",3686.0,,,,,,,,,,,Calma,sahumador-porta-incienso-marfil-natural,1 hr cada varilla,"Hierbas, biomasa de frutas, aceite concentrado aromático, carbón vegetal, aglutinante natural y sal",Introspección - Frescura mental - Sensibilidad,Tarot Angeles,"Introspección, frescura mental, sensibilidad",Argentina,6 sahumerios,"🔮✨ Sahumerio Tarot Ángeles Sabiduría - Hojas de Violeta es un sahumerio pensado para acompañar tus rituales con intención, aroma y mensaje.. 💫 Intención: Sabiduría. 🌿 Aroma: Hojas de Violeta. 💛 Beneficio emocional: introspección, frescura mental y sensibilidad.. 🕊️ Sensación aromática: Su aroma verde, fresco y aterciopelado crea una atmósfera serena, ideal para mirar hacia adentro con claridad.. 📦 Contenido: cada caja trae 6 sahumerios , con duración aproximada de 1 hora cada uno , más 2 cartas coleccionables para completar tu mazo de 21 cartas ✨. ✅ Ideal para: . ✨ Acompañar lectura, estudio o escritura consciente. ✨ Favorecer espacios de introspección y contemplación. ✨ Renovar el ambiente con una sensación elegante y limpia. 🔥 Modo de uso: . Enciende la punta, deja arder 5–10 segundos y apaga la llama. Colócalo en un porta sahumerio y deja que el humo acompañe tu espacio.. 🔮 El mensaje siempre encuentra a quien está listo para recibirlo",Sahumerio Tarot Ángeles Sabiduría - Hojas de Violeta,Hojas de Violeta · Introspección,,,,,,,kg,,1138,true,,,active
sahumerio-tarot-angeles-protector,Sahumerio Tarot Ángeles Protector - Bayas de Geranio,"<p>🔮✨ <strong>Sahumerio Tarot Ángeles Protector - Bayas de Geranio</strong> es un sahumerio pensado para acompañar tus rituales con intención, aroma y mensaje.</p>
<p>💫 <strong>Intención:</strong> Protector</p>
<p>🌿 <strong>Aroma:</strong> Bayas de Geranio</p>
<p>💛 <strong>Beneficio emocional:</strong> protección, equilibrio y serenidad.</p>
<p>🕊️ <strong>Sensación aromática:</strong> Su aroma verde y floral transmite frescura, balance y una atmósfera tranquila que invita a recuperar el centro.</p>
<p>📦 <strong>Contenido:</strong> cada caja trae <strong>6 sahumerios</strong>, con <strong>duración aproximada de 1 hora cada uno</strong>, más <strong>2 cartas coleccionables</strong> para completar tu mazo de 21 cartas ✨</p>
<p>✅ <strong>Ideal para:</strong></p>
<ul>
  <li>✨ Limpiar la energía del espacio antes de recibir visitas</li>
  <li>✨ Crear una sensación de resguardo y armonía en casa</li>
  <li>✨ Acompañar pausas de respiración y recentrado</li>
</ul>
<p>🔥 <strong>Modo de uso:</strong><br>Enciende la punta, deja arder 5–10 segundos y apaga la llama. Colócalo en un porta sahumerio y deja que el humo acompañe tu espacio.</p>
<p>🔮 <em>El mensaje siempre encuentra a quien está listo para recibirlo.</em></p>",Sagrada Madre,Home & Garden > Decor > Home Fragrances > Incense,Sahumerio,"Bayas de Geranio, categoria madre: sahumerios, proteccion, Protector, sahumerio, subcategoria: tarot angeles, Tarot Ángeles",true,Title,Default Title,,,,,,,,'092312,0.0,shopify,130,deny,manual,3894,5990,true,true,,,,,'7798433092312,https://cdn.shopify.com/s/files/1/0752/3686/8396/files/sahumerio-tarot-angeles-protector-bayas-de-geranio-2367978.jpg?v=1775074751,1,Sahumerio Tarot Ángeles Protector - Bayas de Geranio - Sagrada Madre Chile,false,Sahumerio Tarot Ángeles Protector,"Sahumerio Tarot Ángeles Protector Sagrada Madre, ideal para protección energética, guía espiritual y limpieza.",3686.0,,,,,,,,,,,Protección,sahumador-porta-incienso-marfil-natural,1 hr cada varilla,"Hierbas, biomasa de frutas, aceite concentrado aromático, carbón vegetal, aglutinante natural y sal",Protección - Equilibrio - Serenidad,Tarot Angeles,"Protección, equilibrio, serenidad",Argentina,6 sahumerios,"🔮✨ Sahumerio Tarot Ángeles Protector - Bayas de Geranio es un sahumerio pensado para acompañar tus rituales con intención, aroma y mensaje.. 💫 Intención: Protector. 🌿 Aroma: Bayas de Geranio. 💛 Beneficio emocional: protección, equilibrio y serenidad.. 🕊️ Sensación aromática: Su aroma verde y floral transmite frescura, balance y una atmósfera tranquila que invita a recuperar el centro.. 📦 Contenido: cada caja trae 6 sahumerios , con duración aproximada de 1 hora cada uno , más 2 cartas coleccionables para completar tu mazo de 21 cartas ✨. ✅ Ideal para: . ✨ Limpiar la energía del espacio antes de recibir visitas. ✨ Crear una sensación de resguardo y armonía en casa. ✨ Acompañar pausas de respiración y recentrado. 🔥 Modo de uso: . Enciende la punta, deja arder 5–10 segundos y apaga la llama. Colócalo en un porta sahumerio y deja que el humo acompañe tu espacio.. 🔮 El mensaje siempre encuentra a quien está listo para recibirlo",Sahumerio Tarot Ángeles Protector - Bayas de Geranio,Bayas de Geranio · Protección,,,,,,,kg,,1138,true,,,active
